"FIPS","agreeableness","median_household_income_acs2014_5yr","perc_bach_acs2014_5yr","unemployment_rate_acs2014_5yr","HighSchoolGraduationRate_chr20","PercRural_chr20","PercHispanic_chr20","LogPopulation_chr20","median_age_acs2014_5yr","perc_female_acs2014_5yr","perc_married_acs2014_5yr","perc_aa_acs2014_5yr"
"05081",NULL,39494,7.5,7.5,85,68.5,3.7,9.419469833374023,41.1,50.2334267,50.2,20.46374105
"05083",0.581457253264,36062,3,8.5,92,71,3.1,9.986769676208496,42.6,50.35925708,50.3,1.80758281
"05085",0.521714046968,52805,5.8,7.1,91,44.8,4.8,11.207200050354004,35.4,50.75159018,57.3,6.159616646
"05087",NULL,37351,1.2,8.3,88,100,6,9.709959983825684,41,50.1401631,59.9,0.375891947
"05089",NULL,33293,0.8,9.6,92,100,2.3,9.724479675292969,50.9,50.38103302,59,0.266118302
"05091",-0.64201810358,40829,2.3,9.3,87,40,3.6,10.682600021362305,37.6,50.73156166,47.1,24.74217332
"05093",-0.249510184758,34424,2.4,13.3,87,36.3,4.2,10.627099990844727,35.2,51.34515809,46.7,34.48496199
"05095",NULL,27571,2.1,12.7,90,69,3,8.839280128479004,44.7,51.90324634,44.1,41.5658816
"05097",NULL,32293,0,4.7,93,100,4.6,9.096500396728516,47.9,50.55938038,57.8,0.699225473
"05099",NULL,31614,0,11.9,93,69.2,4.2,9.027139663696289,41.5,50.85051256,50,30.55086178
"05101",NULL,32500,0,3.5,80,100,2,8.962519645690918,47.5,49.85856598,59.5,0.049194441
"05103",-0.0381320743812,32220,2.5,11.1,91,56.4,2.5,10.069299697875977,42.6,52.44482908,48.3,39.78993745
"05105",NULL,42030,3.9,6.5,91,100,3.1,9.244939804077148,42.6,50.03864734,56.6,3.004830918
"05107",-0.675926337369,27183,5.7,18.6,86,48,2.1,9.799739837646484,37.6,52.80376073,36.1,61.91778194
"05109",NULL,32045,4.5,7.5,87,100,6.4,9.275469779968262,41.1,50.6748905,56.6,2.923035666
"05111",-0.133259668589,33238,3.2,11.4,82,71.1,3.2,10.084699630737305,39.8,50.87647276,48.3,7.877991707
"05113",-0.0162972862433,33558,0,8,90,73.4,6.6,9.905929565429688,43.5,51.27603403,51.6,0.224894886
"05115",0.830883440739,40818,5.9,7.6,91,54.5,9.4,11.06659984588623,35.3,50.08534465,51.7,3.141002122
"05117",NULL,36904,5.5,5.5,88,100,1.8,8.996399879455566,45.2,50.85545723,55.1,12.36578171
"05119",-0.324987426825,46410,10.3,8,80,12.3,6.2,12.880800247192383,36.2,52.01388031,43.8,35.52419023
"05121",0.546717587556,36487,0.1,5.9,93,67.4,2.1,9.7952299118042,42.1,51.1576936,58.2,0.719343599
"05123",-0.442798993692,31336,2.6,12.8,81,51.6,5.4,10.144000053405762,37.2,45.11612763,39.4,51.59178062
"05125",-0.155193611832,55697,6.6,6.1,93,36.2,5,11.706999778747559,38.7,50.83041919,56,5.436853261
"05127",NULL,36754,1.6,9.4,86,70.4,7.7,9.241740226745605,40.9,49.41037736,57.4,0.263062409
"05129",NULL,33610,2.8,6.8,97,100,2.7,8.981929779052734,46.7,49.62667994,55.6,0.323544052
"05131",0.610509020965,39208,5.9,6.8,88,20.8,14.6,11.75790023803711,36.9,50.96253184,50.2,6.080393688
"05133",0.613876804301,36218,2.3,11.6,92,63.6,34,9.749110221862793,34.5,50.47536232,54,4.736231884
"05135",0.544005250911,30826,2.1,10.4,98,80.1,2.3,9.762269973754883,46.8,50.92013787,56.5,0.333002278
"05137",NULL,29982,2.7,6.1,95,100,2,9.43004035949707,48,50.19551512,57.7,0.151623973
"05139",-0.230825635917,38762,2.4,10.4,88,54.5,4.1,10.57450008392334,39.7,51.68725888,50.4,32.954046
"05141",NULL,31030,5.2,13.9,93,100,3.1,9.717340469360352,47,50.16968988,52.3,0.860152136
"05143",1.02856584731,41983,10.6,7.1,87,25.5,17.1,12.375699996948242,31.2,49.97597037,49,3.433409663
"05145",0.960453279234,42852,7.4,7.1,86,54.3,4.4,11.273699760437012,36,50.7633344,56,4.330884701
"05147",NULL,27165,3.2,12.6,90,100,2.1,8.778019905090332,43.6,51.86072738,43.8,27.30476459
"05149",NULL,37378,2,8.1,87,79.1,20.5,9.977439880371094,38.8,50.00911826,52.8,1.121546458
"06001",-0.583387622745,73775,14.2,9.6,87,0.4,22.4,14.326399803161621,36.9,51.00615145,47.5,11.85044905
"06003",NULL,61343,0,6,NULL,100,11.4,7.003970146179199,43.6,44.67554077,48,0.915141431
"06005",0.148591397287,52964,2.3,15.9,88,60.4,14.4,10.581100463867188,49.6,46.26873705,50.5,2.185204123
"06007",0.17255266952,43165,7.1,13.1,85,18.9,16.7,12.351300239562988,36.9,50.47116591,42.9,1.465849498
"06009",0.539314902785,54936,9,11.3,90,75.4,12.4,10.727700233459473,50.3,50.45301752,56.9,0.650030053
"06011",0.0293953845879,50503,3.3,12.4,89,31.7,60.3,9.98169994354248,34.1,47.92755788,53.1,0.924197162
"06013",-0.267608566605,79799,9.7,9.8,88,0.8,25.8,13.955499649047852,38.7,51.24321145,51.8,8.974484662
"06015",-0.214576908642,39302,2.1,12.6,81,33.7,20,10.233799934387207,39.2,44.5485641,40,3.587971211
"06017",0.62070640257,68507,5.4,11.3,89,34.7,12.9,12.158300399780273,44.4,49.99366269,56.6,0.981456479
