FIPS,COMPONENT_0,COMPONENT_1,COMPONENT_10,COMPONENT_11,COMPONENT_12,COMPONENT_13,COMPONENT_14,COMPONENT_15,COMPONENT_16,COMPONENT_17,COMPONENT_18,COMPONENT_19,COMPONENT_2,COMPONENT_20,COMPONENT_21,COMPONENT_22,COMPONENT_23,COMPONENT_24,COMPONENT_3,COMPONENT_4,COMPONENT_5,COMPONENT_6,COMPONENT_7,COMPONENT_8,COMPONENT_9
01025,-0.002138230782782,-0.0019508024345286,-0.001730043269041,-0.0003113110533354,-0.0001010588916235,-8.54329676203e-05,-0.000613915267837,-0.0002904228245889,0.0017084336671923,4.07268586215e-05,0.0001002553944512,-9.86232081871e-05,-0.0018436111657632,0.0005252422873437,-0.0002661576105353,-0.0002715952145579,0.0002112490718421,0.0011121448247601,-0.0016076214654985,-0.0010662790880685,-0.0005314431147288,-0.0001421843179479,-0.0007234912364087,-0.0005672041444994,-9.39763146959e-05
01027,-0.0013733998911955,-0.0026681262010118,-0.0016848737477001,-0.0001899278694404,-0.0003051112470495,6.31990563898e-05,-0.0004530781042004,4.92458608659e-05,0.0017198621409032,-0.0001310234824084,8.95127895419e-05,6.4664433571e-06,-0.0019852611336812,0.0005347555083039,6.1767071897e-06,-0.0002774539207222,3.53698782551e-05,0.0012452213120974,-0.001232085509637,-0.000734184143139,-0.0006494783311706,-0.0001789943812052,-0.0003110519745758,-0.0002985471200724,-7.00598890415e-05
01029,-0.0010242939306283,-0.00277268090642,-0.0015441477925507,-0.0001737189941569,-0.000174720527056,-3.37750184447e-05,-0.0004167164855449,-0.0001804002452373,0.0016386378684791,-0.0001814150517956,9.76658864085e-05,0.0001297990920493,-0.0018935588022125,0.000420100345746,-1.96811107244e-05,-0.0004744085927563,0.0001878239227351,0.0011973544356044,-0.0012200918980347,-0.0008248162098716,-0.0009015019448831,-0.000139014007876,-0.0005334353205544,-0.0004697993217723,-0.0001615755739506
01031,-0.0010474736329016,-0.0021358719026183,-0.0016757524798998,-0.0001986646367269,-2.75964589517e-05,-0.0001437872885509,-0.0003946032770948,-0.0001183504645414,0.0015903162280415,-0.0001617631804299,0.0001467863356992,-2.81228880128e-05,-0.0020171001841354,0.0006161869715329,-3.65526949176e-05,-0.0004301978634911,2.88909699483e-05,0.0009334436037621,-0.0013280907917093,-0.0009841183590595,-0.0008763984592696,-0.0001509123563161,-0.0003488122276985,-0.0005350931329227,-0.0001285628953166
01033,-0.0010624815950976,-0.0020555964127183,-0.0015230793801801,-0.0002351607780266,-4.10026042324e-05,-0.0002198765654634,-0.0005079042455363,-0.000120131285153,0.0015176146543562,-0.0001807737353376,0.0001942375994327,-9.75505629893e-05,-0.0022391566774769,0.0005890773048593,-0.0001061105789951,-0.0003577866623092,2.27575499262e-05,0.0010687641474702,-0.0013179268258295,-0.0009315817585633,-0.0008034232439249,-0.0001627712520826,-0.0003549584354498,-0.0004920775051805,7.1104315654e-06
01039,-0.0019291306470541,-0.0017065286605912,-0.0018214490845548,-0.0002036906811745,-5.34699334428e-05,-7.04770313311e-05,-0.0006230521022055,-0.0001163991442984,0.0018077941396235,4.92345626565e-05,0.0001177953571878,-0.0001538268530909,-0.0018563051319892,0.0005085945837718,-0.0001194449372097,-0.0004318732195128,0.0001781976052486,0.0009293773943203,-0.0014571840564378,-0.0012340749899135,-0.0005144108670432,-0.0001230033086942,-0.000480659487413,-0.0004634485052284,-5.62019070373e-05
01041,-0.0023987082222371,-0.0022479050812508,-0.0016171918843871,-0.0002008744679826,-0.0001382278572169,-0.0002361856084298,-0.0005454330358376,-0.0001639317768084,0.0016642681526575,1.86746771292e-05,9.61983637676e-05,-0.0001927338732436,-0.0019100966004511,0.0004895446583863,-0.0001885113571912,-0.0003979634610126,0.0002003215343892,0.0009814006388508,-0.0017769040092852,-0.0013028760489432,-0.000506322264808,-0.0002451562199192,-0.0007283865444348,-0.0005791794063182,-0.0001795090842695
01043,-0.0003124261467454,-0.0025598181365927,-0.0016563489019526,-0.0001700440689437,4.18038716484e-05,-9.37362035972e-05,-0.0003964215388171,-4.37508156131e-05,0.0015809900630659,-0.0001157681426861,0.0001126172473806,3.71749872553e-05,-0.0020495601745065,0.0005704863253028,-2.5487293479e-06,-0.0003937922388222,4.63466198209e-05,0.0011302792704539,-0.0010153832174671,-0.0005295888928368,-0.0010505432760436,-6.31648949327e-05,-0.0003961683722767,-0.0005700970869075,-9.19008314444e-05
01045,-0.0014622464715041,-0.0021234601656033,-0.0016187865981941,-0.0001639500900829,-0.0001340139338553,-0.0001536225136356,-0.0004730999226853,-0.000110218769519,0.001583423210034,2.06634761207e-05,0.0001159292453732,-3.8588173886e-05,-0.0018785503067543,0.0004647012823081,-7.12332385586e-05,-0.0003997330789906,0.000109193465226,0.0010252086164595,-0.0013870694467565,-0.0012641303826704,-0.0008258420639195,-0.0002671667867048,-0.0004354947112687,-0.0004555223504629,-0.0001495827992872
01047,-0.002668222698522,-0.0007325548842161,-0.0016687479197622,-0.0001910982040811,0.0001489357348416,-0.0002484957189012,-0.0007701035902986,-0.000352471523555,0.0017414468769258,0.0002506317916581,3.56821715913e-05,-0.0003390492244317,-0.0020508409924053,0.0004776658814909,-0.000379808198229,-0.0001641963583568,0.000147992251637,0.0008340118680304,-0.0022563673010338,-0.0015779727351089,-0.0005246112737503,-0.0001618995063447,-0.0007093111203283,-0.0006754548554983,-0.0001860913705631
01049,-0.0007209001725033,-0.0027099874387516,-0.0015517156867719,-0.0001791189080756,-8.25109985024e-05,-8.11335889608e-05,-0.0004694783127896,-1.82734677108e-05,0.0016259562641247,-0.0001394220543782,0.0001117238165495,3.2866082632e-05,-0.0019144870597427,0.0004583920514715,-2.68054176742e-05,-0.0003639261187808,6.0650382444e-05,0.0011122787291052,-0.0010122705848184,-0.0007188567021431,-0.000995852296711,-0.0001510469788241,-0.0003203157288362,-0.0003641812867898,-4.86393427881e-05
